Acession,Accession Bank ID,Genus,Species,Scientific Name,Source or Donor Name,Collection Country,Collection Site,Place of collection,Unknow,Population,Species_Flag
W394,1817,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W395,1819,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W396,14,Triticum,turgidum,Triticum turgidum,Farm,Saudi Arabia,Riyadh,Tumair,Saudi Arabia,Saudi_Arabia,T_turgidum
W397,497,Triticum,turgidum,Triticum turgidum,ICARDA,Morocco,ICARDA Sample,ICARDA,Morocco,ICARDA,T_turgidum
W399,1627,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W400,1634,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W401,1641,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W402,1646,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W403,1648,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W404,1656,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W405,1669,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W406,1642,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W407,1645,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W408,1656,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W409,1665,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W410,1677,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W411,1682,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W412,1683,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W413,1684,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W414,1688,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W415,1691,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W416,1698,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W417,1701,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W418,1702,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W419,1711,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W420,1713,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W421,1727,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W422,1728,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W423,1749,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W424,1752,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W425,1761,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W426,1776,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W427,1777,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W428,1787,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W429,1796,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W430,1820,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W431,1827,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W432,1651,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W433,1652,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W434,1723,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W435,1788,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W436,1791,Triticum,turgidum,Triticum turgidum,CIMMYT,Mexico,Mexico,Mexico,Mexico,CIMMYT,T_turgidum
W437,3112,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,ACSAD,Syria,Syria,ACSAD,T_turgidum
W438,1229,,,,,,,,,Other,Unknown
W439,1465,,,,,,,,,Other,Unknown
W440,1469,,,,,,,,,Other,Unknown
W441,1499,Triticum,aestivum,.Triticum aestivum L,Farm,Saudi Arabia,aseer,Tanmyah aseer,Saudi Arabia,Saudi_Arabia,T_aestivum
W442,1383,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
W443,1393,Triticum,turgidum,Triticum turgidum,ACSAD,Syria,Syria,Syria,Syria,ACSAD,T_turgidum
