Sample ,Scientific Name,Code,Status ,Accession Bank ID,Genus,Species,Scientific Name,Source or Donor Name,Collection Country,Collection Cite,Place of collection,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 34,PASSED,1317,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Western province,"Sayah valley, Western region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 35,PASSED,1318,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,S.province,"Alasamlah, Jazan, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 36,PASSED,1319,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Western province,"Alhamanah, Western region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 37,PASSED,1320,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,S.province,"Tihamah region, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 38,PASSED,1321,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,S.province,"Mahayil, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 39,PASSED,1322,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,"Sabia , Jazan, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 40,PASSED,1323,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,S.province,"Qanuna Valley, Al Ardiyat, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 41,PASSED,1324,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,"Ad Darb, Jazan, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 42,PASSED,1325,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,"Al Reeth, Jazan, Southwestern region, Saudi Arabia",,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 43,PASSED,1427,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Al-Baha,64,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 44,PASSED,1428,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Al-Baha,65,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 45,Didn’t pass QC,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Aseer,66,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 46,PASSED,1432,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Al-Baha,69,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 47,PASSED,1434,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,71,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 48,PASSED,1435,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,AL-taif,72,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 49,PASSED,1478,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Farm,,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 51,PASSED,1481,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Farm,,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 52,PASSED,1482,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Farm,,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 53,PASSED,1534,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,,,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 54,PASSED,___ _____ ___ ___ ______ M20,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,,,,,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 55,PASSED,1434,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,71,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 56,PASSED,3276,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,jazan,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 57,PASSED,1428,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Al-Baha,65,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 58,PASSED,1429,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Aseer,66,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 59,PASSED,3277,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Jazan,jazan,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 60,PASSED,___ _____ ___ ___ ______ Medina,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,,,,,,,,,,,,,,,,,,
Millet ,Pennisetum typhoideum Rich,PM 61,PASSED,1427,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,Saudi Arabia,Al-Baha,64,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
