accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
PM 46,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,69,Al-Baha
PM 47,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,71,Jazan
PM 48,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,72,Taif
PM 49,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,,
PM 51,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,,
PM 52,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,,
PM 53,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,,
PM 55,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,71,Jazan
PM 56,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,jazan,Jazan
PM 57,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,65,Al-Baha
PM 58,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,66,Aseer
PM 59,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,jazan,Jazan
PM 61,,Pennisetum,typhoideum Rich,Pennisetum typhoideum Rich,Farm,,Saudi Arabia,64,Al-Baha
