accessionId,localName,genus,species,scientificName,source,arabicName,country,province,location
C72,خولانى طلان,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى طلان,Saudi Arabia,Al Dayer,Jazan
C73,خولانى طلان,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى طلان,Saudi Arabia,Al Dayer,Jazan
C74,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Dayer,Jazan
C75,بن خولانى الداير,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,بن خولانى الداير,Saudi Arabia,Al-Dai'yer,Jazan
C76,خولانى الداير,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى الداير,Saudi Arabia,Al-Dai'yer,Jazan
C77,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Eidaby,Jazan
C78,تفاحى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,تفاحى,Saudi Arabia,Al-Dai'yer,Jazan
C79,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Fayfa,Jazan
C80,خولانى الريث,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى الريث,Saudi Arabia,Al-Rith,Jazan
C81,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Rith,Jazan
C82,خولانى العارضة,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى العارضة,Saudi Arabia,Al Aaridah,Jazan
C83,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Dai'yer,Jazan
C84,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Dai'yer,Jazan
C85,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Fayfa,Jazan
C86,خولانى فيفا,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى فيفا,Saudi Arabia,Fayfa,Jazan
C87,تفاحى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,تفاحى,Saudi Arabia,Al Aaridah,Jazan
C88,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Aaridah,Jazan
C89,خولانى هروب,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى هروب,Saudi Arabia,Harub,Jazan
C90,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Fayfa,Jazan
C91,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Fayfa,Jazan
C92,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Fayfa,Jazan
C93,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Reeth,Jazan
C94,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Reeth,Jazan
C95,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Dai'yer,Jazan
C96,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Dayer,Jazan
C97,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Dai'yer,Jazan
C98,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Dai'yer,Jazan
C99,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Reeth,Jazan
C100,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Reeth,Jazan
C101,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al-Dai'yer,Jazan
C102,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Al Aaridah,Jazan
C103,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,Fayfa,Jazan
C104,خولانى,Coffea,arabica,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,AlReeth,Jazan
