Sent Code	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
W 17	693	Triticum	aestivum	Triticum aestivum L	Market	قمح حنطة	Saudi Arabia	Al-Baha	Al-Muqwa Bani Malik
W 18	681	Triticum	aestivum	Triticum aestivum L	Market	قمح استرالي	Saudi Arabia	Al-Baha	Baljarashi
W 19	679	Triticum	aestivum	Triticum aestivum L	Market	قمح شوقيه	Saudi Arabia	Al-Baha	Baljarashi
W 20	770	Triticum	aestivum	Triticum aestivum L	Farm	قمح (بر)	Saudi Arabia	Najran	Najran
W 28	988	Triticum	aestivum	Triticum aestivum L	Market	قمح القصيم	Saudi Arabia	Mecca	Buraidah
W 29	983	Triticum	aestivum	Triticum aestivum L	Market	قمح الفوارة	Saudi Arabia	Mecca	Buraidah
W 30	552	Triticum	aestivum	Triticum aestivum L	Farm	قمح بلدي (يماني)	Saudi Arabia	Tabuk	Tabuk
W 31	493	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخيز	Morocco	Unknow	ICARDA Sample
W 32	882	Triticum	aestivum	Triticum aestivum L	Market	قمح بر (نخيله)	Saudi Arabia	Mecca	Taif (Al-Saad)
W 33	929	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز	Saudi Arabia	Mecca	Najran
W 34	1525	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Saudi Arabia	Saudi Arabia
W 35	1514	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Saudi Arabia	Saudi Arabia
W 36	573	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Saudi Arabia	Al-Qaseem	Al-Qawara
W 37	713	Triticum	aestivum	Triticum aestivum L	Market	قمح الخبز	Saudi Arabia	Tabuk	Unknow
W 38	641	Triticum	aestivum	Triticum aestivum L	ICARDA-113064	قمح الخبز	Morocco	Unknow	Abha
W 39	642	Triticum	aestivum	Triticum aestivum L	ICARDA-113070	قمح الخبز	Morocco	Unknow	Abha
W 40	647	Triticum	aestivum	Triticum aestivum L	ICARDA-138509	قمح الخبز	Morocco	Unknow	Taif
W 41	925	Triticum	aestivum	Triticum aestivum L	Market	قمح (حب قياض قديم)	Saudi Arabia	Mecca	Aseer
W 42	978	Triticum	aestivum	Triticum aestivum L	Market	قمح بر	Saudi Arabia	Mecca	Buraidah
W 43	505	Triticum	aestivum	Triticum aestivum L	ICARDA	قمح الخبز	Morocco	Unknow	ICARDA Sample
