Sr. No.,Sent Code ,Accession Bank ID,Genus,Species,ScientifiCName,Source or Donor Name,Local Names,Collection Country,Collection Site,Place of collection
47,C71,2801,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى طلان,Saudi Arabia,jazan,Al Dayer
48,C72,2802,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى طلان,Saudi Arabia,jazan,Al Dayer
49,C73,2803,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى طلان,Saudi Arabia,jazan,Al Dayer
50,C74,2804,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Dayer
51,C75,2805,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,بن خولانى الداير,Saudi Arabia,jazan,Al-Dai'yer
52,C76,2806,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى الداير,Saudi Arabia,jazan,Al-Dai'yer
53,C77,2807,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Eidaby
54,C78,2808,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,تفاحى,Saudi Arabia,jazan,Al-Dai'yer
55,C79,2809,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Fayfa
56,C80,2810,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى الريث,Saudi Arabia,jazan,Al-Rith
57,C81,2811,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Rith
58,C82,2812,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى العارضة,Saudi Arabia,jazan,Al Aaridah
59,C83,2813,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Dai'yer
60,C84,2814,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al-Dai'yer
61,C85,2815,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Fayfa
62,C86,2816,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى فيفا,Saudi Arabia,jazan,Fayfa
63,C87,2817,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,تفاحى,Saudi Arabia,jazan,Al Aaridah
64,C88,2818,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Al Aaridah
65,C89,2819,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى هروب,Saudi Arabia,jazan,Harub
66,C90,2820,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Fayfa
67,C91,2821,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Fayfa
68,C92,2822,Coffea ,arabica ,Coffea arabica L,Palladium project 2022-2024,خولانى,Saudi Arabia,jazan,Fayfa
